run_date,invoice_number,vendor,kind,amount_usd
2023-06-30,NOR-H4-0101,NORDVIK,PAYMENT,8291.00
2023-07-14,NOR-H4-0104,NORDVIK,PAYMENT,4807.00
2023-07-14,NOR-H4-0118,NORDVIK,PAYMENT,0.00
2023-07-31,NOR-H4-0109,NORDVIK,PAYMENT,6720.00
2023-08-04,ATL-H4-0112,ATLASOCEAN,PAYMENT,7703.37
2023-08-04,NOR-H4-0109,NORDVIK,ADJUSTMENT,150.00
2023-08-11,NOR-H4-0120,NORDVIK,PAYMENT,2851.00
2023-08-18,ATL-H4-0106,ATLASOCEAN,PAYMENT,5712.23
2023-08-18,ATL-H4-0115,ATLASOCEAN,PAYMENT,-119.45
2023-08-18,NOR-H4-0123,NORDVIK,PAYMENT,7234.00
2023-08-25,HAR-H4-0130,HARBORLINK,PAYMENT,1405.00
2023-08-25,HAR-H4-0133,HARBORLINK,PAYMENT,0.00
2023-08-25,NOR-H4-0123,NORDVIK,ADJUSTMENT,37.00
