invoice_number,vendor,invoice_date,currency,paid_usd
ATL-H1-0106,ATLASOCEAN,2023-10-26,EUR,5712.23
ATL-H1-0112,ATLASOCEAN,2023-11-03,EUR,7801.09
ATL-H1-0115,ATLASOCEAN,2023-11-17,EUR,-119.45
HAR-H1-0130,HARBORLINK,2023-11-20,USD,1405.00
HAR-H1-0133,HARBORLINK,2023-11-24,USD,0.00
NOR-H1-0101,NORDVIK,2023-09-27,USD,8381.00
NOR-H1-0104,NORDVIK,2023-10-08,USD,4807.00
NOR-H1-0109,NORDVIK,2023-10-30,USD,6915.00
NOR-H1-0118,NORDVIK,2023-10-14,USD,0.00
NOR-H1-0120,NORDVIK,2023-11-06,USD,2851.00
NOR-H1-0123,NORDVIK,2023-11-12,USD,7261.00
