invoice_number,vendor,invoice_date,currency,paid_usd
ATL-H3-0106,ATLASOCEAN,2023-04-26,EUR,5903.98
ATL-H3-0112,ATLASOCEAN,2023-05-03,EUR,7749.92
ATL-H3-0115,ATLASOCEAN,2023-05-17,EUR,-119.16
HAR-H3-0130,HARBORLINK,2023-05-20,USD,1405.00
HAR-H3-0133,HARBORLINK,2023-05-24,USD,0.00
NOR-H3-0101,NORDVIK,2023-03-27,USD,8351.00
NOR-H3-0104,NORDVIK,2023-04-08,USD,4807.00
NOR-H3-0109,NORDVIK,2023-04-30,USD,6900.00
NOR-H3-0118,NORDVIK,2023-04-14,USD,0.00
NOR-H3-0120,NORDVIK,2023-05-06,USD,2851.00
NOR-H3-0123,NORDVIK,2023-05-12,USD,7301.00
